mysql> select * from extractLogInfo;
+-----+-----------------------------------------------------------------------------------------------+-----------+--------+
| ID  | msg                                                                                           | logInfoID | dictID |
| 122 | Starting Session 1269 of user root.                                                           |      7178 |      2 |
| 123 |  (root) CMD (ntpdate 0.asia.pool.ntp.org)                                                     |      7179 |      3 |
| 124 | (root) CMD (ntpdate 0.asia.pool.ntp.org)                                                      |      7180 |      3 |
| 125 |  (root) CMD (/usr/lib64/sa/sa1 1 1)                                                           |      7181 |      4 |
| 126 | (root) CMD (/usr/lib64/sa/sa1 1 1)                                                            |      7182 |      4 |
| 127 |  (root) CMDOUT (/bin/sh: ntpdate: command not found)                                          |      7183 |      5 |
| 128 | (root) CMDOUT (/bin/sh: ntpdate: command not found)                                           |      7184 |      5 |
| 129 | -- MARK --                                                                                    |      7185 |      6 |
+-----+-----------------------------------------------------------------------------------------------+-----------+--------+
129 rows in set (0.00 sec)
